oap;Cameroon;-0.065337279
ofd;Cameroon;-0.019051232
omt;Cameroon;-0.015834737
pdr;Cameroon;-0.05191439
sgr;Cameroon;-0.020612425
v_f;Cameroon;-0.051246279
vol;Cameroon;-0.012240738
b_t;Chad;-0.004774882
cmt;Chad;-0.020459131
mil;Chad;-0.011365005
oap;Chad;-0.055760001
ofd;Chad;-0.009733322
omt;Chad;-0.024350259
pdr;Chad;-0.060137002
sgr;Chad;-0.035764199
v_f;Chad;-0.048740735
vol;Chad;-0.014071771
b_t;China;-0.006392911
cmt;China;-0.025298735
mil;China;-0.023081709
oap;China;-0.062876378
ofd;China;-0.0192842
omt;China;-0.039869852
pdr;China;-0.055664034
sgr;China;-0.016236185
v_f;China;-0.050215558
vol;China;-0.016034509
b_t;Colombia;-0.003346895
cmt;Colombia;-0.028959795
mil;Colombia;-0.01792075
oap;Colombia;-0.054535443
ofd;Colombia;-0.013214703
omt;Colombia;-0.027343095
pdr;Colombia;-0.049783757
sgr;Colombia;-0.024988456
v_f;Colombia;-0.048708329
vol;Colombia;-0.021411138
b_t;Cote d'Ivoire;-0.006610689
cmt;Cote d'Ivoire;-0.010189566
mil;Cote d'Ivoire;-0.014866434
oap;Cote d'Ivoire;-0.090400391
ofd;Cote d'Ivoire;-0.01416822
omt;Cote d'Ivoire;-0.03691035
pdr;Cote d'Ivoire;-0.069676352
sgr;Cote d'Ivoire;-0.026842085
v_f;Cote d'Ivoire;-0.052133551
vol;Cote d'Ivoire;-0.017495068
b_t;Djibouti;-0.010693387
cmt;Djibouti;-0.016352395
mil;Djibouti;-0.013390594
oap;Djibouti;-0.057305791
ofd;Djibouti;-0.018160007
omt;Djibouti;-0.012944689
pdr;Djibouti;-0.053853175
sgr;Djibouti;-0.026497419
v_f;Djibouti;-0.051622233
vol;Djibouti;-0.016250296
b_t;Egypt;-0.001408444
cmt;Egypt;-0.00635722
mil;Egypt;-0.009945683
oap;Egypt;-0.092128431
ofd;Egypt;-0.02751353
omt;Egypt;-0.005512941
