"","Lowest","Low","Middle","Higher","National","Regressivity","Country","iso3c"
"Senegal",0.027681762983003,0.0241362254236237,0.0227821626138747,NA,0.0262111306006102,NA,"Senegal","SEN"
"Serbia",0.0210116406734794,0.021573079747734,0.021481246759618,0.0216225266862845,0.021519505507744,0.971747704527398,"Serbia","SRB"
"Sierra Leone",0.0392844861030359,0.0356180180603735,0.029168242971924,0.026936115090555,0.0365315429406284,1.45843177351179,"Sierra Leone","SLE"
"South Africa",0.0194594568714389,0.0194356885087058,0.0191019265796676,0.0190014984452955,0.0192591120187386,1.02410117430801,"South Africa","ZAF"
"Sri Lanka",0.0320572700864256,0.0299827550228128,0.0274921859663042,0.0274696670261748,0.0302043036679191,1.16700614011373,"Sri Lanka","LKA"
"Swaziland",0.0213064960265042,0.0231366850334888,0.0231388709576386,0.0192271021150633,0.0221197709808384,1.10814910634982,"Swaziland","SWZ"
"Tajikistan",0.0465520889629823,0.0455020416428866,0.0425258257465926,0.0407725475562161,0.0447812022633483,1.14175080423409,"Tajikistan","TJK"
"Tanzania",0.0307035397511908,0.0288747915893738,0.0254151839387588,0.0269206054118339,0.0304218689565151,1.14052188951494,"Tanzania","TZA"
"Thailand",0.0346167474501017,0.0332300968506424,0.0307344547771753,0.0312756296983412,0.0324434446675068,1.10682815290967,"Thailand","THA"
"Timor Leste",0.0406341652469256,0.0378575027657632,0.035313749433918,0.0353222780482886,0.0396496003116357,1.1503834829502,"Timor Leste","TLS"
"Togo",0.0359829286483547,0.0361475055872521,0.0356790722166085,NA,0.03600821041796,NA,"Togo","TGO"
"Turkey",0.0266561214019164,0.0258940036808914,0.0262051411802782,0.0259553502418484,0.0260857073424305,1.02699910244086,"Turkey","TUR"
"Uganda",0.0339825268567737,0.0326744377584485,0.0300177268874462,0.0275577682158324,0.0334051771671585,1.23313784304384,"Uganda","UGA"
"Ukraine",0.0293306191635839,0.0286161613205974,0.0284712791878096,0.0284003210467749,0.0285142367382699,1.03275660564811,"Ukraine","UKR"
"Vietnam",0.0379871354130357,0.0346728991981556,0.0323511209533057,0.0334407648275036,0.0363980894448987,1.13595294871345,"Vietnam","VNM"
"Yemen, Rep.",0.0352186137248114,0.0359673686845324,0.0367289072639934,0.0370536290924895,0.0358918175789174,0.950476770761167,"Yemen, Rep.","YEM"
"Zambia",0.0297114739119366,0.0288633476383317,0.0287038315093679,0.0281695400288658,0.0294655767739749,1.05473763084135,"Zambia","ZMB"
